#proc cat nGausRV nGausWV
tth_ALT TTHHadronicTag0 4 1
tth_ALT TTHHadronicTag1 4 1
tth_ALT TTHHadronicTag2 4 1
tth_ALT TTHHadronicTag3 4 1
tth_ALT TTHHadronicTag4 4 1
tth_ALT TTHHadronicTag5 4 1
tth_ALT TTHHadronicTag6 4 1
tth_ALT TTHHadronicTag7 4 1
